record_set,benchmark,memory_system,scope,model_label,scale,budget,n,unbudgeted_success_count,pass_count,wrong_within_budget_count,budget_exhausted_count,unbudgeted_success,pass_at_b,p_wrong,p_exh,mean_calls,median_calls,p90_calls
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,100,3,500,110,30,55,415,0.22,0.06,0.11,0.83,5.212,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,100,4,500,110,31,57,412,0.22,0.062,0.114,0.824,5.212,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,100,5,500,110,31,59,410,0.22,0.062,0.118,0.82,5.212,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,100,6,500,110,110,390,0,0.22,0.22,0.78,0.0,5.212,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,200,1,500,113,17,33,450,0.226,0.034,0.066,0.9,5.28,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,200,2,500,113,24,44,432,0.226,0.048,0.088,0.864,5.28,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,200,3,500,113,26,49,425,0.226,0.052,0.098,0.85,5.28,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,200,4,500,113,28,53,419,0.226,0.056,0.106,0.838,5.28,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,200,5,500,113,29,57,414,0.226,0.058,0.114,0.828,5.28,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,200,6,500,113,113,387,0,0.226,0.226,0.774,0.0,5.28,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,300,1,500,90,12,42,446,0.18,0.024,0.084,0.892,5.212,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,300,2,500,90,20,55,425,0.18,0.04,0.11,0.85,5.212,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,300,3,500,90,22,63,415,0.18,0.044,0.126,0.83,5.212,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,300,4,500,90,24,65,411,0.18,0.048,0.13,0.822,5.212,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,300,5,500,90,24,67,409,0.18,0.048,0.134,0.818,5.212,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,300,6,500,90,90,410,0,0.18,0.18,0.82,0.0,5.212,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,400,1,500,98,28,32,440,0.196,0.056,0.064,0.88,5.126,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,400,2,500,98,35,47,418,0.196,0.07,0.094,0.836,5.126,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,400,3,500,98,37,55,408,0.196,0.074,0.11,0.816,5.126,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,400,4,500,98,39,59,402,0.196,0.078,0.118,0.804,5.126,6.0,6.0
