source_package,benchmark,memory_system,scope,model_label,budget_B,base_s_label,scaled_s_label,pass_at_b_base,pass_at_b_base_ci_low,pass_at_b_base_ci_high,pass_at_b_scaled,pass_at_b_scaled_ci_low,pass_at_b_scaled_ci_high,delta_pass_at_b,p_exhaustion_scaled,p_wrong_within_budget_scaled
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,1,s0,s400,0.5815602836879432,0.524822695035461,0.6347517730496454,0.5709219858156028,0.5141843971631206,0.6276595744680851,-0.010638297872340385,0.2978723404255319,0.13120567375886524
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,2,s0,s400,0.6950354609929078,0.6418439716312057,0.7446808510638298,0.6631205673758865,0.6099290780141844,0.7198581560283688,-0.03191489361702127,0.1276595744680851,0.20921985815602837
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,3,s0,s400,0.7446808510638298,0.6879432624113475,0.7907801418439716,0.6950354609929078,0.6418439716312057,0.7446808510638298,-0.049645390070921946,0.0035460992907801418,0.30141843971631205
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,4,s0,s400,0.7446808510638298,0.6950354609929078,0.7907801418439716,0.6950354609929078,0.6418439716312057,0.7446808510638298,-0.049645390070921946,0.0,0.3049645390070922
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,5,s0,s400,0.7446808510638298,0.6949468085106383,0.7978723404255319,0.6950354609929078,0.6418439716312057,0.7447695035460992,-0.049645390070921946,0.0,0.3049645390070922
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,1,s0,s400,0.5070921985815603,0.44680851063829785,0.5638297872340425,0.5141843971631206,0.4574468085106383,0.574468085106383,0.007092198581560294,0.36879432624113473,0.11702127659574468
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,2,s0,s400,0.5851063829787234,0.5283687943262412,0.6418439716312057,0.574468085106383,0.5177304964539007,0.6347517730496454,-0.010638297872340385,0.26595744680851063,0.1595744680851064
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,3,s0,s400,0.6702127659574468,0.6134751773049646,0.723404255319149,0.6595744680851063,0.6028368794326241,0.7198581560283688,-0.010638297872340496,0.09929078014184398,0.24113475177304963
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,4,s0,s400,0.6843971631205674,0.6276595744680851,0.7375886524822695,0.6666666666666666,0.6063829787234043,0.723404255319149,-0.01773049645390079,0.06028368794326241,0.2730496453900709
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,5,s0,s400,0.6843971631205674,0.6312056737588653,0.7375886524822695,0.6702127659574468,0.6134751773049646,0.7269503546099291,-0.014184397163120588,0.0,0.32978723404255317
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,1,s0,s400,0.04609929078014184,0.024822695035460994,0.07092198581560284,0.028368794326241134,0.010638297872340425,0.04964539007092199,-0.017730496453900707,0.9716312056737588,0.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,2,s0,s400,0.07092198581560284,0.0425531914893617,0.10283687943262411,0.05673758865248227,0.031914893617021274,0.08156028368794327,-0.014184397163120574,0.9397163120567376,0.0035460992907801418
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,3,s0,s400,0.25886524822695034,0.20921985815602837,0.3120567375886525,0.25177304964539005,0.20212765957446807,0.3049645390070922,-0.007092198581560294,0.723404255319149,0.024822695035460994
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,4,s0,s400,0.37943262411347517,0.32269503546099293,0.43617021276595747,0.35815602836879434,0.30141843971631205,0.41134751773049644,-0.021276595744680826,0.5780141843971631,0.06382978723404255
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,5,s0,s400,0.4148936170212766,0.35815602836879434,0.4716312056737589,0.4148936170212766,0.35815602836879434,0.46808510638297873,0.0,0.0,0.5851063829787234
