source_package,benchmark,memory_system,scope,model_label,s,packaged_success_rate,derived_raw_success_rate,success_rate_abs_diff,packaged_retrieval_calls_mean,derived_retrieval_calls_mean,retrieval_calls_mean_abs_diff,status
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,100,0.6843971631205674,0.6843971631205674,0.0,1.900709219858156,1.900709219858156,0.0,ok
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,200,0.7056737588652482,0.7056737588652482,0.0,1.8971631205673758,1.8971631205673758,0.0,ok
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,300,0.7021276595744681,0.7021276595744681,0.0,1.8404255319148937,1.8404255319148937,0.0,ok
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,400,0.6702127659574468,0.6702127659574468,0.0,1.7943262411347518,1.7943262411347518,0.0,ok
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,0,0.7446808510638298,0.7446808510638298,0.0,1.4397163120567376,1.4397163120567376,0.0,ok
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,100,0.7269503546099291,0.7269503546099291,0.0,1.4113475177304964,1.4113475177304964,0.0,ok
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,200,0.7553191489361702,0.7553191489361702,0.0,1.4184397163120568,1.4184397163120568,0.0,ok
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,300,0.7446808510638298,0.7446808510638298,0.0,1.429078014184397,1.429078014184397,0.0,ok
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,400,0.6950354609929078,0.6950354609929078,0.0,1.429078014184397,1.429078014184397,0.0,ok
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 8B,0,0.58156,0.5815602836879432,2.836879432477346e-07,1.0,1.0,0.0,ok
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 8B,100,0.570922,0.5709219858156028,1.4184397212346767e-08,1.0,1.0,0.0,ok
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 8B,200,0.578014,0.5780141843971631,1.8439716309437415e-07,1.0,1.0,0.0,ok
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 8B,300,0.567376,0.5673758865248227,1.1347517725468492e-07,1.0,1.0,0.0,ok
