source_package,benchmark,memory_system,scope,model_label,budget_B,alpha,breakdown_s,breakdown_s_label,breakdown_pass_at_b,tested_s_labels
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,5,0.7,0,s0,0.6418439716312057,"s0,s100,s200,s300,s400"
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 32B,1,0.7,0,s0,0.6134751773049646,"s0,s100,s200,s300,s400"
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 32B,2,0.7,0,s0,0.6134751773049646,"s0,s100,s200,s300,s400"
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 32B,3,0.7,0,s0,0.6134751773049646,"s0,s100,s200,s300,s400"
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 32B,4,0.7,0,s0,0.6134751773049646,"s0,s100,s200,s300,s400"
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 32B,5,0.7,0,s0,0.6134751773049646,"s0,s100,s200,s300,s400"
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 8B,1,0.7,0,s0,0.5815602836879432,"s0,s100,s200,s300,s400"
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 8B,2,0.7,0,s0,0.5815602836879432,"s0,s100,s200,s300,s400"
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 8B,3,0.7,0,s0,0.5815602836879432,"s0,s100,s200,s300,s400"
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 8B,4,0.7,0,s0,0.5815602836879432,"s0,s100,s200,s300,s400"
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 8B,5,0.7,0,s0,0.5815602836879432,"s0,s100,s200,s300,s400"
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 235B,1,0.7,400,s400,0.6875,"s0,s100,s200,s300,s400"
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 235B,2,0.7,400,s400,0.6875,"s0,s100,s200,s300,s400"
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 235B,3,0.7,400,s400,0.6875,"s0,s100,s200,s300,s400"
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 235B,4,0.7,400,s400,0.6875,"s0,s100,s200,s300,s400"
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 235B,5,0.7,400,s400,0.6875,"s0,s100,s200,s300,s400"
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 32B,1,0.7,100,s100,0.6795,"s0,s100,s200,s300,s400"
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 32B,2,0.7,100,s100,0.6795,"s0,s100,s200,s300,s400"
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 32B,3,0.7,100,s100,0.6795,"s0,s100,s200,s300,s400"
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 32B,4,0.7,100,s100,0.6795,"s0,s100,s200,s300,s400"
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 32B,5,0.7,100,s100,0.6795,"s0,s100,s200,s300,s400"
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 8B,1,0.7,100,s100,0.6305,"s0,s100,s200,s300,s400"
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 8B,2,0.7,100,s100,0.6305,"s0,s100,s200,s300,s400"
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 8B,3,0.7,100,s100,0.6305,"s0,s100,s200,s300,s400"
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 8B,4,0.7,100,s100,0.6305,"s0,s100,s200,s300,s400"
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 8B,5,0.7,100,s100,0.6305,"s0,s100,s200,s300,s400"
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 235B,1,0.7,,>s400,,"s0,s100,s200,s300,s400"
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 235B,2,0.7,,>s400,,"s0,s100,s200,s300,s400"
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 235B,3,0.7,,>s400,,"s0,s100,s200,s300,s400"
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 235B,4,0.7,,>s400,,"s0,s100,s200,s300,s400"
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 235B,5,0.7,,>s400,,"s0,s100,s200,s300,s400"
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 32B,1,0.7,,>s400,,"s0,s100,s200,s300,s400"
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 32B,2,0.7,,>s400,,"s0,s100,s200,s300,s400"
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 32B,3,0.7,,>s400,,"s0,s100,s200,s300,s400"
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 32B,4,0.7,,>s400,,"s0,s100,s200,s300,s400"
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 32B,5,0.7,,>s400,,"s0,s100,s200,s300,s400"
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 8B,1,0.7,0,s0,0.509,"s0,s100,s200,s300,s400"
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 8B,2,0.7,0,s0,0.535,"s0,s100,s200,s300,s400"
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 8B,3,0.7,0,s0,0.55,"s0,s100,s200,s300,s400"
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 8B,4,0.7,0,s0,0.5555,"s0,s100,s200,s300,s400"
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 8B,5,0.7,0,s0,0.6305,"s0,s100,s200,s300,s400"
