source_package,benchmark,memory_system,scope,model_label,budget_B,alpha,run_status,coverage_ratio,pass_at_b_s0,pass_at_b_s0_ci_low,pass_at_b_s0_ci_high,pass_at_b_smax,pass_at_b_smax_ci_low,pass_at_b_smax_ci_high,raw_success_s0,raw_success_smax,cost_smax_med,cost_smax_p90,p_exhaustion_smax,p_wrong_within_budget_smax,breakdown_s,breakdown_s_label,s0_label,smax_label
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,1,0.7,complete,1.0,0.5815602836879432,0.524822695035461,0.6347517730496454,0.5709219858156028,0.5141843971631206,0.6276595744680851,0.7446808510638298,0.6950354609929078,1.0,3.0,0.2978723404255319,0.13120567375886524,0,s0,s0,s400
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,2,0.7,complete,1.0,0.6950354609929078,0.6418439716312057,0.7446808510638298,0.6631205673758865,0.6099290780141844,0.7198581560283688,0.7446808510638298,0.6950354609929078,1.0,3.0,0.1276595744680851,0.20921985815602837,0,s0,s0,s400
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,3,0.7,complete,1.0,0.7446808510638298,0.6879432624113475,0.7907801418439716,0.6950354609929078,0.6418439716312057,0.7446808510638298,0.7446808510638298,0.6950354609929078,1.0,3.0,0.0035460992907801418,0.30141843971631205,400,s400,s0,s400
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,4,0.7,complete,1.0,0.7446808510638298,0.6950354609929078,0.7907801418439716,0.6950354609929078,0.6418439716312057,0.7446808510638298,0.7446808510638298,0.6950354609929078,1.0,3.0,0.0,0.3049645390070922,400,s400,s0,s400
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,5,0.7,complete,1.0,0.7446808510638298,0.6949468085106383,0.7978723404255319,0.6950354609929078,0.6418439716312057,0.7447695035460992,0.7446808510638298,0.6950354609929078,1.0,3.0,0.0,0.3049645390070922,400,s400,s0,s400
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,1,0.7,complete,1.0,0.5070921985815603,0.44680851063829785,0.5638297872340425,0.5141843971631206,0.4574468085106383,0.574468085106383,0.6843971631205674,0.6702127659574468,1.0,3.0,0.36879432624113473,0.11702127659574468,0,s0,s0,s400
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,2,0.7,complete,1.0,0.5851063829787234,0.5283687943262412,0.6418439716312057,0.574468085106383,0.5177304964539007,0.6347517730496454,0.6843971631205674,0.6702127659574468,1.0,3.0,0.26595744680851063,0.1595744680851064,0,s0,s0,s400
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,3,0.7,complete,1.0,0.6702127659574468,0.6134751773049646,0.723404255319149,0.6595744680851063,0.6028368794326241,0.7198581560283688,0.6843971631205674,0.6702127659574468,1.0,3.0,0.09929078014184398,0.24113475177304963,0,s0,s0,s400
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,4,0.7,complete,1.0,0.6843971631205674,0.6276595744680851,0.7375886524822695,0.6666666666666666,0.6063829787234043,0.723404255319149,0.6843971631205674,0.6702127659574468,1.0,3.0,0.06028368794326241,0.2730496453900709,0,s0,s0,s400
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,5,0.7,complete,1.0,0.6843971631205674,0.6312056737588653,0.7375886524822695,0.6702127659574468,0.6134751773049646,0.7269503546099291,0.6843971631205674,0.6702127659574468,1.0,3.0,0.0,0.32978723404255317,0,s0,s0,s400
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,1,0.7,complete,1.0,0.04609929078014184,0.024822695035460994,0.07092198581560284,0.028368794326241134,0.010638297872340425,0.04964539007092199,0.4148936170212766,0.4148936170212766,5.0,5.0,0.9716312056737588,0.0,0,s0,s0,s400
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,2,0.7,complete,1.0,0.07092198581560284,0.0425531914893617,0.10283687943262411,0.05673758865248227,0.031914893617021274,0.08156028368794327,0.4148936170212766,0.4148936170212766,5.0,5.0,0.9397163120567376,0.0035460992907801418,0,s0,s0,s400
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,3,0.7,complete,1.0,0.25886524822695034,0.20921985815602837,0.3120567375886525,0.25177304964539005,0.20212765957446807,0.3049645390070922,0.4148936170212766,0.4148936170212766,5.0,5.0,0.723404255319149,0.024822695035460994,0,s0,s0,s400
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,4,0.7,complete,1.0,0.37943262411347517,0.32269503546099293,0.43617021276595747,0.35815602836879434,0.30141843971631205,0.41134751773049644,0.4148936170212766,0.4148936170212766,5.0,5.0,0.5780141843971631,0.06382978723404255,0,s0,s0,s400
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,5,0.7,complete,1.0,0.4148936170212766,0.35815602836879434,0.4716312056737589,0.4148936170212766,0.35815602836879434,0.46808510638297873,0.4148936170212766,0.4148936170212766,5.0,5.0,0.0,0.5851063829787234,0,s0,s0,s400
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 405B,1,0.7,partial,0.183,0.7142076502732241,0.6923497267759563,0.7349726775956285,0.7142076502732241,0.6923497267759563,0.7349726775956285,0.8540983606557377,0.8540983606557377,1.0,3.0,0.25191256830601094,0.033879781420765025,,>s0,s0,s0
