source_package,benchmark,memory_system,scope,model_label,s,s_label,task_count,trajectory_count,expected_rows_per_model,expected_rows_per_stage,coverage_ratio,run_status,raw_success_rate_taskavg,raw_success_rate_rowavg,raw_success_ci_low,raw_success_ci_high,retrieval_calls_mean,retrieval_calls_median,retrieval_calls_p90,retrieval_calls_max,zero_retrieval_rate,context_tokens_mean,total_duration_ms_mean,total_cost_usd_mean,react_steps_mean,budget_B,pass_at_b_taskavg,pass_at_b_ci_low,pass_at_b_ci_high,pass_at_b_rowavg,p_exhaustion,p_wrong_within_budget,partition_mass_check
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,0,s0,282,282,1410,282,1.0,complete,0.7446808510638298,0.7446808510638298,0.6950354609929078,0.7943262411347518,1.4397163120567376,1.0,3.0,4,0.0,1392.1028368794325,51890.95744680851,0.00466843971631206,2.4397163120567376,1,0.5815602836879432,0.524822695035461,0.6347517730496454,0.5815602836879432,0.3049645390070922,0.11347517730496454,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,0,s0,282,282,1410,282,1.0,complete,0.7446808510638298,0.7446808510638298,0.6950354609929078,0.7943262411347518,1.4397163120567376,1.0,3.0,4,0.0,1392.1028368794325,51890.95744680851,0.00466843971631206,2.4397163120567376,2,0.6950354609929078,0.6418439716312057,0.7446808510638298,0.6950354609929078,0.1276595744680851,0.1773049645390071,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,0,s0,282,282,1410,282,1.0,complete,0.7446808510638298,0.7446808510638298,0.6950354609929078,0.7943262411347518,1.4397163120567376,1.0,3.0,4,0.0,1392.1028368794325,51890.95744680851,0.00466843971631206,2.4397163120567376,3,0.7446808510638298,0.6879432624113475,0.7907801418439716,0.7446808510638298,0.0070921985815602835,0.24822695035460993,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,0,s0,282,282,1410,282,1.0,complete,0.7446808510638298,0.7446808510638298,0.6950354609929078,0.7943262411347518,1.4397163120567376,1.0,3.0,4,0.0,1392.1028368794325,51890.95744680851,0.00466843971631206,2.4397163120567376,4,0.7446808510638298,0.6950354609929078,0.7907801418439716,0.7446808510638298,0.0,0.2553191489361702,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,0,s0,282,282,1410,282,1.0,complete,0.7446808510638298,0.7446808510638298,0.6950354609929078,0.7943262411347518,1.4397163120567376,1.0,3.0,4,0.0,1392.1028368794325,51890.95744680851,0.00466843971631206,2.4397163120567376,5,0.7446808510638298,0.6949468085106383,0.7978723404255319,0.7446808510638298,0.0,0.2553191489361702,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,100,s100,282,282,1410,282,1.0,complete,0.7269503546099291,0.7269503546099291,0.6807624113475177,0.776595744680851,1.4113475177304964,1.0,3.0,4,0.0,1418.468085106383,50363.65248226951,0.0046475177304964605,2.4113475177304964,1,0.5957446808510638,0.5354609929078015,0.6524822695035462,0.5957446808510638,0.2695035460992908,0.1347517730496454,0.9999999999999999
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,100,s100,282,282,1410,282,1.0,complete,0.7269503546099291,0.7269503546099291,0.6807624113475177,0.776595744680851,1.4113475177304964,1.0,3.0,4,0.0,1418.468085106383,50363.65248226951,0.0046475177304964605,2.4113475177304964,2,0.6737588652482269,0.6205673758865248,0.7304964539007093,0.6737588652482269,0.11347517730496454,0.2127659574468085,0.9999999999999999
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,100,s100,282,282,1410,282,1.0,complete,0.7269503546099291,0.7269503546099291,0.6807624113475177,0.776595744680851,1.4113475177304964,1.0,3.0,4,0.0,1418.468085106383,50363.65248226951,0.0046475177304964605,2.4113475177304964,3,0.723404255319149,0.6702127659574468,0.7801418439716312,0.723404255319149,0.028368794326241134,0.24822695035460993,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,100,s100,282,282,1410,282,1.0,complete,0.7269503546099291,0.7269503546099291,0.6807624113475177,0.776595744680851,1.4113475177304964,1.0,3.0,4,0.0,1418.468085106383,50363.65248226951,0.0046475177304964605,2.4113475177304964,4,0.7269503546099291,0.6773049645390071,0.7801418439716312,0.7269503546099291,0.0,0.2730496453900709,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,100,s100,282,282,1410,282,1.0,complete,0.7269503546099291,0.7269503546099291,0.6807624113475177,0.776595744680851,1.4113475177304964,1.0,3.0,4,0.0,1418.468085106383,50363.65248226951,0.0046475177304964605,2.4113475177304964,5,0.7269503546099291,0.6772163120567376,0.7801418439716312,0.7269503546099291,0.0,0.2730496453900709,1.0
