source_package,benchmark,memory_system,scope,model_label,s,s_label,budget_B,run_status,coverage_ratio,p_exhaustion,p_wrong_within_budget,pass_at_b_taskavg,partition_mass_check
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,200,s200,1,complete,1.0,0.4326241134751773,0.07801418439716312,0.48936170212765956,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,200,s200,2,complete,1.0,0.3262411347517731,0.10283687943262411,0.5709219858156028,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,200,s200,3,complete,1.0,0.08865248226950355,0.21631205673758866,0.6950354609929078,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,200,s200,4,complete,1.0,0.04964539007092199,0.24468085106382978,0.7056737588652482,0.9999999999999999
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,200,s200,5,complete,1.0,0.0,0.29432624113475175,0.7056737588652482,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,300,s300,1,complete,1.0,0.3971631205673759,0.11347517730496454,0.48936170212765956,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,300,s300,2,complete,1.0,0.26595744680851063,0.1453900709219858,0.5886524822695035,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,300,s300,3,complete,1.0,0.12056737588652482,0.20921985815602837,0.6702127659574468,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,300,s300,4,complete,1.0,0.05673758865248227,0.24822695035460993,0.6950354609929078,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,300,s300,5,complete,1.0,0.0,0.2978723404255319,0.7021276595744681,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,400,s400,1,complete,1.0,0.36879432624113473,0.11702127659574468,0.5141843971631206,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,400,s400,2,complete,1.0,0.26595744680851063,0.1595744680851064,0.574468085106383,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,400,s400,3,complete,1.0,0.09929078014184398,0.24113475177304963,0.6595744680851063,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,400,s400,4,complete,1.0,0.06028368794326241,0.2730496453900709,0.6666666666666666,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,400,s400,5,complete,1.0,0.0,0.32978723404255317,0.6702127659574468,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,0,s0,1,complete,1.0,0.9468085106382979,0.0070921985815602835,0.04609929078014184,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,0,s0,2,complete,1.0,0.9184397163120568,0.010638297872340425,0.07092198581560284,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,0,s0,3,complete,1.0,0.6773049645390071,0.06382978723404255,0.25886524822695034,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,0,s0,4,complete,1.0,0.5283687943262412,0.09219858156028368,0.37943262411347517,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,0,s0,5,complete,1.0,0.0,0.5851063829787234,0.4148936170212766,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,100,s100,1,complete,1.0,0.9787234042553191,0.0070921985815602835,0.014184397163120567,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,100,s100,2,complete,1.0,0.9645390070921985,0.014184397163120567,0.02127659574468085,1.0
