model_label,run_name,group,rows,recorded_total_cost_usd_sum,recorded_total_cost_usd_mean,eval_total_cost_usd_sum,tracked_non_eval_cost_usd_sum,qa_chat_prompt_tokens_sum,qa_chat_completion_tokens_sum,qa_chat_calls_sum,eval_prompt_tokens_sum,eval_completion_tokens_sum,eval_calls_sum,cost_observability_note
Qwen 8B,qwen8b,ALL,1000,0.306916,0.000306916,0.306916,0.0,2496063,133771,1852,1462803,145862,3000,"OpenClaw official q0/index embedding cost is not exposed by the official bridge; Qwen DashScope chat pricing is not in local TOKEN_COSTS. recorded_total_cost_usd is runner-recorded tracked cost, dominated by gpt-4o-mini judge cost."
Qwen 32B,qwen32b,ALL,1000,0.298099,0.000298099,0.298099,0.0,3494272,137205,2161,1419714,141901,3000,"OpenClaw official q0/index embedding cost is not exposed by the official bridge; Qwen DashScope chat pricing is not in local TOKEN_COSTS. recorded_total_cost_usd is runner-recorded tracked cost, dominated by gpt-4o-mini judge cost."
Qwen 235B,qwen235b,ALL,1000,0.305374,0.000305374,0.305374,0.0,5301254,173876,2688,1438950,149278,3000,"OpenClaw official q0/index embedding cost is not exposed by the official bridge; Qwen DashScope chat pricing is not in local TOKEN_COSTS. recorded_total_cost_usd is runner-recorded tracked cost, dominated by gpt-4o-mini judge cost."
